,Light,Medium,SemiBold,Bold,Heavy
Light,,0.119502,0.183255,0.264797,0.348504
Medium,0.119502,,0.075256,0.171883,0.282263
SemiBold,0.183255,0.075256,,0.109423,0.231108
Bold,0.264797,0.171883,0.109423,,0.134741
Heavy,0.348504,0.282263,0.231108,0.134741,
