,Light,Medium,SemiBold,Bold,Heavy
Light,,12.5781,19.5286,29.3763,41.0892
Medium,12.5781,,7.5576,18.3263,30.9176
SemiBold,19.5286,7.5576,,11.6147,24.7424
Bold,29.3763,18.3263,11.6147,,14.1053
Heavy,41.0892,30.9176,24.7424,14.1053,
