,Light,Medium,SemiBold,Bold,Heavy
Light,,13.1034,11.1929,9.4196,7.9623
Medium,13.1034,,15.3158,11.4688,9.1975
SemiBold,11.1929,15.3158,,13.4495,10.1652
Bold,9.4196,11.4688,13.4495,,12.6058
Heavy,7.9623,9.1975,10.1652,12.6058,
