,Light,Medium,SemiBold,Bold,Heavy
Light,,3182.2714,4940.7267,7432.213,10395.5737
Medium,3182.2714,,1912.0768,4636.5559,7822.1558
SemiBold,4940.7267,1912.0768,,2938.5252,6259.8242
Bold,7432.213,4636.5559,2938.5252,,3568.6298
Heavy,10395.5737,7822.1558,6259.8242,3568.6298,
