,Light,Medium,SemiBold,Bold,Heavy
Light,,0.875415,0.840186,0.79812,0.748925
Medium,0.875415,,0.904596,0.846872,0.789299
SemiBold,0.840186,0.904596,,0.879577,0.815471
Bold,0.79812,0.846872,0.879577,,0.866333
Heavy,0.748925,0.789299,0.815471,0.866333,
