,Light,Medium,SemiBold,Bold,Heavy
Light,,46.77830071452067,71.2763291695704,107.24695941471836,137.25653939404705
Medium,46.77830032339884,,21.823307548608938,53.81810047041904,82.42414466651425
SemiBold,71.27632842824502,21.82330832683232,,32.55965919798186,59.21508120478211
Bold,107.24695847154524,53.8181007012258,32.559658900138686,,31.327348511050303
Heavy,137.2565374273982,82.42414368312919,59.215080787993344,31.327347851380893,
